Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.012;1.2418;1.4685;
2;1;1.012;1.6227;2.5526;
3;1;1.012;1.6405;2.5949;
4;1;1.012;1.6431;2.6011;
5;1;1.012;1.6436;2.6023;
