Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;34.41;62.94;0;17011.94;1.38;0;0;0;0.01;5.4;0;1.26;
knl07;_ALL;_ALL;34.41;62.94;0;17011.94;1.38;0;0;0;0.01;5.4;0;1.26;
knl07;385670;_ALL;34.41;62.94;0;17011.94;1.38;0;0;0;0.01;5.4;0;1.26;
knl07;385670;385963;11.65;86.71;0;790;1.65;0;0;0;0;0.79;0;0;
knl07;385670;385670;82.98;12.95;0;5398.96;0.13;0;0;0;0;5.4;0;3.95;
knl07;385670;385962;13.42;84.94;0;790;1.65;0;0;0;0;0.79;0;0;
knl07;385670;385966;12.35;85.41;0;761;2.23;0;0;0;0;0.76;0;0;
knl07;385670;385970;11.29;86.22;0;762;2.49;0;0;0;0;0.76;0;0;
knl07;385670;385972;12.38;85.64;0;759;1.98;0;0;0;0;0.76;0;0;
knl07;385670;385960;11.99;85.73;0;792;2.27;0;0;0;0;0.79;0;0;
knl07;385670;385969;8.92;88.71;0;762;2.23;0;0;0;0.13;0.76;0;0;
knl07;385670;385965;11.9;86.58;0;790;1.52;0;0;0;0;0.79;0;0;
knl07;385670;385959;12.39;85.59;0;791;1.9;0;0;0;0.13;0.79;0;0;
knl07;385670;385961;12.41;85.95;0;790;1.65;0;0;0;0;0.79;0;0;
knl07;385670;385967;10.38;87.12;0;761;2.37;0;0;0;0;0.76;0;0.13;
knl07;385670;385971;12.37;85.53;0;760;2.11;0;0;0;0;0.76;0;0;
knl07;385670;385973;12.19;86.09;0;755;1.72;0;0;0;0;0.75;0;0;
knl07;385670;385968;12.5;85.39;0;760;2.11;0;0;0;0;0.76;0;0;
knl07;385670;385964;11.27;87.22;0;790;1.52;0;0;0;0;0.79;0;0;
