name;time_p;time_s;cpi_ratio;
kernel;53.83;2.07;;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_v3_SS/binaries/sobel;46.04;1.77;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0.13;0;;
