loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
1;sobel;main._omp_fn.0;8;sobel.c:21-28;Innermost;26.49;0.8;0.53;0.55;0.58;23.329423904419;0.031112466007471;2;
2;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;18.92;0.57;0.38;0.39;0.41;16.773635864258;0.024041678756475;2;
3;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.1;0;0;0;0;0.0077911242842674;0.0014142128638923;2;
4;sobel;main._omp_fn.0;8;sobel.c:202-214;InBetween;0.05;0;0;0;0;0;0;1;
9;sobel;sort;12;common.c:9-15;Innermost;0.02;0;0;0;0;0;0;1;
