name;time_p;time_s;cpi_ratio;
kernel;54.3;1.65;;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_v3_SS/binaries/sobel;45.58;1.38;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0.12;0;;
