Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.01;1.1937;1.3621;
2;1;1.0101;1.4677;2.0209;
3;1;1.0101;1.4804;2.0439;
4;1;1.0101;1.4825;2.0477;
5;1;1.0101;1.4843;2.0511;
6;1;1.0101;1.4845;2.0511;
