function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;64.48;3.89;1.33;1.34;1.34;23.602403640747;8;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;34.85;2.1;0.15;0.72;4.7;23.936605453491;8;"0,0,0.017309803851538,0,95.984125506443,3.9985646897052,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.52;0.03;0;0.01;0.01;0.29124706983566;8;"0,0,100,0,0,0,0,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.1;0.01;0;0;0;0.065448574721813;7;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;0;0;0;0.00010817761358339;4;"0,0,0,0,100,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.01;0;0;0;0;6.2356259149965e-05;2;"0,0,100,0,0,0,0,0,0,0";
1458;libc-2.31.so;__fprintf_chk;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
299;libc-2.31.so;swapcontext;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
267;libpthread-2.31.so;__pthread_cleanup_push_defer;;0.01;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
