name;time_p;time_s;cpi_ratio;
/scratch/chps/users/user22024/Projet/AOC-Computer-vision/maqao/sobel_v3/binaries/sobel;61.76;4.06;;
kernel;37.54;2.47;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.65;0.04;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.04;0;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.01;0;;
