block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;45.57;0.69;;;;;;
80;sobel;sobel.c:204-214;41.1;0.63;;;;;;
76;sobel;sobel.c:209-214;1.05;0.02;;;;;;
84;sobel;sobel.c:209-214;0.2;0;;;;;;
95;sobel;sobel.c:204-204;0.13;0;;;;;;
90;sobel;sobel.c:328-331,stdio2.h:100-100;0.07;0;;;;;;
77;sobel;sobel.c:204-214;0.07;0;;;;;;
83;sobel;sobel.c:209-214;0.07;0;;;;;;
86;sobel;sobel.c:204-214;0.07;0;;;;;;
75;sobel;sobel.c:204-313;0.07;0;;;;;;
