block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;33.63;2.03;0.69;0.7;0.7;12.288601875305;8;
80;sobel;sobel.c:204-214;29.86;1.8;0.61;0.62;0.63;10.919220924377;8;
76;sobel;sobel.c:209-214;0.55;0.03;0.01;0.01;0.01;0.27233326435089;8;
84;sobel;sobel.c:209-214;0.17;0.01;0;0;0.01;0.14819921553135;8;
77;sobel;sobel.c:204-214;0.11;0.01;0;0;0;0.10610430687666;8;
95;sobel;sobel.c:204-204;0.04;0;0;0;0;0.063489869236946;4;
79;sobel;sobel.c:204-204;0.03;0;0;0;0;0.076533406972885;3;
73;sobel;sobel.c:204-204;0.02;0;0;0;0;5.0917977205245e-05;3;
75;sobel;sobel.c:204-313;0.02;0;0;0;0;0.046921569854021;2;
81;sobel;sobel.c:204-204;0.01;0;0;0;0;0;1;
86;sobel;sobel.c:204-214;0.01;0;0;0;0;7.4505805969238e-09;2;
72;sobel;sobel.c:313-313,rdtsc.h:9-11;0.01;0;0;0;0;0;1;
90;sobel;sobel.c:328-331,stdio2.h:100-100;0.01;0;0;0;0;0;1;
85;sobel;sobel.c:204-214;0.01;0;0;0;0;0;1;
87;sobel;sobel.c:214-214;0.01;0;0;0;0;0;1;
83;sobel;sobel.c:209-214;0.01;0;0;0;0;0;1;
