block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;46.18;0.7;;;;;;
80;sobel;sobel.c:204-214;41.01;0.62;;;;;;
76;sobel;sobel.c:209-214;0.93;0.01;;;;;;
84;sobel;sobel.c:209-214;0.13;0;;;;;;
73;sobel;sobel.c:204-204;0.07;0;;;;;;
90;sobel;sobel.c:328-331,stdio2.h:100-100;0.07;0;;;;;;
77;sobel;sobel.c:204-214;0.07;0;;;;;;
87;sobel;sobel.c:214-214;0.07;0;;;;;;
83;sobel;sobel.c:209-214;0.07;0;;;;;;
75;sobel;sobel.c:204-313;0.07;0;;;;;;
