Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.0099;1.1907;1.3557;
2;1;1.0099;1.4636;2.008;
3;1;1.0099;1.4749;2.0284;
4;1;1.0099;1.4776;2.0333;
5;1;1.0099;1.4788;2.0355;
6;1;1.0099;1.479;2.0355;
