block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;38.48;5.64;;;;;;
82;sobel;sobel.c:204-214;33.81;4.96;;;;;;
78;sobel;sobel.c:209-214;0.54;0.08;;;;;;
86;sobel;sobel.c:209-214;0.16;0.02;;;;;;
79;sobel;sobel.c:204-214;0.14;0.02;;;;;;
81;sobel;sobel.c:204-204;0.05;0.01;;;;;;
85;sobel;sobel.c:209-214;0.04;0.01;;;;;;
101;sobel;sobel.c:204-204;0.03;0;;;;;;
83;sobel;sobel.c:204-204;0.02;0;;;;;;
88;sobel;sobel.c:204-214;0.02;0;;;;;;
75;sobel;sobel.c:204-204;0.01;0;;;;;;
77;sobel;sobel.c:204-313;0.01;0;;;;;;
91;sobel;sobel.c:327-327;0.01;0;;;;;;
