function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
-1;kernel;unknown_kernel_region;;80.17;43.48;;;;;;"0,0,0,0,98.440556039166,1.5594439608337,0,0,0,0";
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;19.79;10.73;;;;;;"100,0,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.01;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
113;libgomp.so.1.0.0;GOMP_critical_start;;0.01;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
12;sobel;sort;common.c:7-17;0.01;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
1458;libc-2.31.so;__fprintf_chk;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
498;libc-2.31.so;_IO_file_xsputn;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
308;libc-2.31.so;vprintf;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
299;libc-2.31.so;swapcontext;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
70;libgomp.so.1.0.0;realloc@plt;;0;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
49;libc-2.31.so;.plt.sec@start;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
