loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
0;sobel;main._omp_fn.0;8;sobel.c:21-30;Innermost;12.75;5.57;;;;;;
1;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;11.4;4.98;;;;;;
5;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.29;0.13;;;;;;
4;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.08;0.04;;;;;;
2;sobel;main._omp_fn.0;8;sobel.c:202-313;InBetween;0.03;0.01;;;;;;
9;sobel;sort;12;common.c:9-15;Innermost;0.01;0;;;;;;
3;sobel;main._omp_fn.0;8;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;Outermost;0;0;;;;;;
