block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;27.15;11.85;5.56;5.58;5.62;15.446704864502;4;
82;sobel;sobel.c:204-214;24.38;10.64;4.98;5.01;5.04;13.952146530151;4;
78;sobel;sobel.c:209-214;0.46;0.2;0.09;0.09;0.11;0.22820048034191;4;
86;sobel;sobel.c:209-214;0.12;0.05;0.02;0.02;0.03;0.049448627978563;4;
79;sobel;sobel.c:204-214;0.08;0.03;0.01;0.02;0.02;0.046698752790689;4;
83;sobel;sobel.c:204-204;0.02;0.01;0;0;0;0.017948811873794;4;
101;sobel;sobel.c:204-204;0.02;0.01;0;0;0;0.010107875801623;4;
77;sobel;sobel.c:204-313;0.01;0.01;0;0;0;0.0084844660013914;4;
81;sobel;sobel.c:204-204;0.01;0.01;0;0;0;0.017588842660189;3;
85;sobel;sobel.c:209-214;0.01;0;0;0;0;0.0039411424659193;3;
88;sobel;sobel.c:204-214;0.01;0;0;0;0;0.0085052940994501;4;
75;sobel;sobel.c:204-204;0;0;0;0;0;0.0062746996991336;3;
152;sobel;common.c:9-10;0;0;0;0;0;0;1;
72;sobel;sobel.c:21-299;0;0;0;0;0;0.0040031308308244;2;
90;sobel;sobel.c:202-323,rdtsc.h:9-11;0;0;0;0;0;5.867895015399e-05;2;
87;sobel;sobel.c:204-214;0;0;0;0;0;0.00044155737850815;2;
84;sobel;sobel.c:202-202;0;0;0;0;0;0.0003828784392681;2;
158;sobel;common.c:9-10;0;0;0;0;0;0;1;
92;sobel;sobel.c:328-331,stdio2.h:100-100;0;0;0;0;0;0;1;
93;sobel;sobel.c:331-331,stdio2.h:100-100;0;0;0;0;0;0;1;
89;sobel;sobel.c:214-214;0;0;0;0;0;0;1;
