loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
0;sobel;main._omp_fn.0;8;sobel.c:21-30;Innermost;27.15;11.85;5.56;5.58;5.62;15.446704864502;4;
1;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;24.38;10.64;4.98;5.01;5.04;13.952146530151;4;
5;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.55;0.24;0.1;0.11;0.13;0.27958157658577;4;
4;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.13;0.06;0.02;0.03;0.04;0.057478338479996;4;
2;sobel;main._omp_fn.0;8;sobel.c:202-313;InBetween;0.06;0.03;0.01;0.01;0.01;0.038193289190531;4;
3;sobel;main._omp_fn.0;8;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;Outermost;0.01;0;0;0;0;0.010920245200396;3;
9;sobel;sort;12;common.c:9-15;Innermost;0;0;0;0;0;0;1;
