function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;52.28;22.83;10.72;10.74;10.77;29.765348434448;4;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;47.6;20.78;1.71;9.78;32.92;29.830146789551;4;"0,0,0.0051124816561162,0,98.565948895459,1.4289386228845,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.05;0.02;0;0.01;0.02;0.055686272680759;4;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0.01;0;0;0.01;0.0055954181589186;4;"0,0,0,0,100,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.02;0.01;0;0;0;0.014713236130774;4;"0,0,0,0,0,0,100,0,0,0";
306;libc-2.31.so;cuserid;;0;0;0;0;0;0.0080062616616488;2;"0,0,0,0,100,0,0,0,0,0";
369;libc-2.31.so;_IO_padn;;0;0;0;0;0;0.0088600628077984;2;"0,0,0,0,0,0,100,0,0,0";
299;libc-2.31.so;swapcontext;;0;0;0;0;0;0.0096258195117116;2;"0,0,0,0,100,0,0,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0;0;0;0;0;0.0031516926828772;3;"0,0,100,0,0,0,0,0,0,0";
12;sobel;sort;common.c:7-17;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
718;libc-2.31.so;explicit_bzero;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
550;libc-2.31.so;__libc_alloca_cutoff;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
114;libgomp.so.1.0.0;GOMP_critical_end;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
