block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;45.15;5.59;;;;;;
82;sobel;sobel.c:204-214;39.7;4.91;;;;;;
78;sobel;sobel.c:209-214;0.67;0.08;;;;;;
86;sobel;sobel.c:209-214;0.19;0.02;;;;;;
79;sobel;sobel.c:204-214;0.19;0.02;;;;;;
101;sobel;sobel.c:204-204;0.06;0.01;;;;;;
81;sobel;sobel.c:204-204;0.05;0.01;;;;;;
83;sobel;sobel.c:204-204;0.04;0;;;;;;
85;sobel;sobel.c:209-214;0.03;0;;;;;;
87;sobel;sobel.c:204-214;0.02;0;;;;;;
84;sobel;sobel.c:202-202;0.02;0;;;;;;
88;sobel;sobel.c:204-214;0.02;0;;;;;;
77;sobel;sobel.c:204-313;0.02;0;;;;;;
