name;time_p;time_s;cpi_ratio;
/scratch/chps/users/user22024/Projet/AOC-Computer-vision/maqao/sobel_v3_ws/binaries/sobel;52.32;23.16;;
kernel;47.57;21.06;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.06;0.02;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.05;0.02;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0;0;;
