block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;33.01;1.73;0.34;0.35;0.36;9.505729675293;16;
80;sobel;sobel.c:204-214;29.43;1.54;0.29;0.31;0.34;8.6015853881836;16;
76;sobel;sobel.c:209-214;0.6;0.03;0;0.01;0.01;0.33686017990112;16;
84;sobel;sobel.c:209-214;0.08;0;0;0;0;0.10519489645958;10;
77;sobel;sobel.c:204-214;0.06;0;0;0;0;0.060299679636955;8;
95;sobel;sobel.c:204-204;0.04;0;0;0;0;0.073398396372795;4;
83;sobel;sobel.c:209-214;0.02;0;0;0;0;0.0031859201844782;3;
85;sobel;sobel.c:204-214;0.01;0;0;0;0;2.1073423894791e-08;2;
81;sobel;sobel.c:204-204;0.01;0;0;0;0;0;1;
87;sobel;sobel.c:214-214;0.01;0;0;0;0;0;1;
