Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;32.31;64.92;0;16461.02;1.42;0;0;0;0.03;5.06;0;1.32;
knl07;_ALL;_ALL;32.31;64.92;0;16461.02;1.42;0;0;0;0.03;5.06;0;1.32;
knl07;389937;_ALL;32.31;64.92;0;16461.02;1.42;0;0;0;0.03;5.06;0;1.32;
knl07;389937;390231;10.58;87.61;0;775;1.68;0;0;0;0.13;0.78;0;0;
knl07;389937;390233;9.64;87.82;0;747;2.54;0;0;0;0;0.75;0;0;
knl07;389937;390237;10.31;87.28;0;747;2.41;0;0;0;0;0.75;0;0;
knl07;389937;390235;9.36;88.1;0;748;2.54;0;0;0;0;0.75;0;0;
knl07;389937;390229;9.29;89.03;0;775;1.68;0;0;0;0;0.78;0;0;
knl07;389937;390228;10.44;87.63;0;776;1.8;0;0;0;0.13;0.78;0;0;
knl07;389937;390230;8;90.19;0;775;1.81;0;0;0;0;0.78;0;0;
knl07;389937;390226;11.34;86.73;0;776;1.8;0;0;0;0.13;0.78;0;0;
knl07;389937;389937;82.37;13.25;0;5064;0.08;0;0;0;0.02;5.06;0;4.29;
knl07;389937;390234;10.04;87.68;0;747;2.28;0;0;0;0;0.75;0;0;
knl07;389937;390238;9.37;88.09;0;747;2.41;0;0;0;0.13;0.75;0;0;
knl07;389937;390240;10.11;88.14;0;742;1.75;0;0;0;0;0.74;0;0;
knl07;389937;390236;11.63;85.96;0;748;2.41;0;0;0;0;0.75;0;0;
knl07;389937;390232;10.84;87.61;0;775;1.55;0;0;0;0;0.78;0;0;
knl07;389937;390239;9.96;88.16;0;743;1.88;0;0;0;0;0.74;0;0;
knl07;389937;390227;10.05;88.14;0;776;1.8;0;0;0;0;0.78;0;0;
