Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;51.93;45.58;0;4174.98;0;0.05;0;0;0.02;3.04;0;2.42;
vidal-NBLK-WAX9X;_ALL;_ALL;51.93;45.58;0;4174.98;0;0.05;0;0;0.02;3.04;0;2.42;
vidal-NBLK-WAX9X;17542;_ALL;51.93;45.58;0;4174.98;0;0.05;0;0;0.02;3.04;0;2.42;
vidal-NBLK-WAX9X;17542;17542;66.57;30.07;0;3035.98;0;0.03;0;0;0;3.04;0;3.33;
vidal-NBLK-WAX9X;17542;17551;12.91;86.92;0;1139;0;0.09;0;0;0.09;1.14;0;0;
