ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 1;sobel;sobel.c:21-28;main;Innermost;36.98;1.00;1.00;2.03;4.00;1;98.77;40.74;144.00;144.00;144.00;71.00;36.00
Loop 2;sobel;sobel.c:166-176;main;Innermost;24.92;1.00;1.00;2.44;33.00;1;100.00;43.33;33.00;33.00;33.00;13.50;1.00
Loop 3;sobel;sobel.c:166-176;main;Innermost;0.1;1.00;1.00;12.34;18.67;2;0.00;11.98;18.67;18.67;18.67;1.51;1.00
Loop 5;sobel;stdio2.h:105-293,rdtsc.h:9-11,sobel.c:21-337;main;Outermost;0.03;6.23;1.76;5.19;7.79 - 6.23;32;15.38;27.40;31.17;5.00;17.69;6.00;4.00 - 5.00
Loop 4;sobel;rdtsc.h:11-11,sobel.c:164-176;main;InBetween;0.03;1.00;1.00;5.43;9.00;4;0.00;12.27;9.00;9.00;9.00;1.66;1.00
