name;time_p;time_s;cpi_ratio;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_v1/binaries/sobel;73.95;3.17;;
kernel;25.95;1.11;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0.09;0;;
