Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.1089;1.0408;2.4248;1.1089;
2;1.1089;1.0408;3.8626;1.1089;
3;1.1089;1.0408;5.0517;1.1089;
4;1.1089;1.0408;6.1896;1.1089;
