ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 7;sobel;sobel.c:21-28;main._omp_fn.0;Innermost;40.22;1.00;1.00;1.80;4.00;1;98.81;41.09;144.00;144.00;144.00;80.00;36.00
Loop 3;sobel;sobel.c:240-251;sobel_v4;Innermost;26.53;1.00;1.00;2.39;33.50;1;100.00;43.43;33.50;33.50;33.50;14.00;1.00
Loop 4;sobel;sobel.c:240-251;sobel_v4;Innermost;0.26;1.00;1.00;12.45;18.63;2;0.00;11.56;18.63;18.63;18.63;1.50;1.00
Loop 5;sobel;sobel.c:240-251;sobel_v4;Innermost;0.03;1.00;1.00;7.27;6.25;2;0.00;12.22;6.25;6.25;6.25;0.86;1.00
Loop 6;sobel;sobel.c:236-251;sobel_v4;Outermost;0.01;1.00;1.00;4.00;5.00;4;0.00;12.50;5.00;5.00;5.00;1.25;1.00
Loop 10;sobel;common.c:9-15;sort;Innermost;0.01;1.00;1.00;4.00;3.56;256;0.00;25.00;16.00;16.00;16.00;4.00;4.50
