Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.0105;1.2055;1.3875;
2;1;1.0105;1.4999;2.1206;
3;1;1.0105;1.5147;2.1489;
4;1;1.0105;1.5184;2.156;
5;1;1.0105;1.5206;2.1602;
