block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
54;sobel;sobel.c:55-56;57.03;36.25;;;;;;
63;sobel;sobel.c:80-82;7.25;4.61;;;;;;
53;sobel;sobel.c:55-55;5.74;3.65;;;;;;
65;sobel;sobel.c:82-84;4.9;3.12;;;;;;
44;sobel;sobel.c:20-29;3.19;2.03;;;;;;
50;sobel;sobel.c:51-54;2.29;1.46;;;;;;
66;sobel;sobel.c:84-84;2.21;1.41;;;;;;
52;sobel;sobel.c:55-55;1.96;1.25;;;;;;
51;sobel;sobel.c:54-54;1.85;1.18;;;;;;
62;sobel;sobel.c:79-80;1.77;1.12;;;;;;
61;sobel;sobel.c:79-79;1.61;1.03;;;;;;
68;sobel;sobel.c:77-84;1.34;0.85;;;;;;
55;sobel;sobel.c:54-54;1.04;0.66;;;;;;
56;sobel;sobel.c:58-59;0.63;0.4;;;;;;
43;sobel;sobel.c:20-20;0.06;0.04;;;;;;
67;sobel;sobel.c:84-84;0.02;0.02;;;;;;
60;sobel;sobel.c:77-77;0.02;0.01;;;;;;
