function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
11;sobel;convolve_baseline;sobel.c:51-59;66.28;54.95;54.95;54.95;54.95;0;0;1;"100,0,0,0,0,0,0,0,0,0";convolve_baseline;
12;sobel;sobel_baseline;sobel.c:63-86;21.27;17.63;17.63;17.63;17.63;0;0;1;"100,0,0,0,0,0,0,0,0,0";sobel_baseline;
277;libm.so.6;__sqrt_finite;;4.67;3.87;3.87;3.87;3.87;0;0;1;"0,0,0,100,0,0,0,0,0,0";__sqrt_finite;
9;sobel;grayscale_weighted;sobel.c:17-31;4.22;3.5;3.5;3.5;3.5;0;0;1;"100,0,0,0,0,0,0,0,0,0";grayscale_weighted;
103;libm.so.6;f32xsqrtf64;;3.56;2.95;2.95;2.95;2.95;0;0;1;"0,0,0,100,0,0,0,0,0,0";f32xsqrtf64;
