function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
11;sobel;convolve_baseline;sobel.c:51-59;70.2;44.52;;;;;;"100,0,0,0,0,0,0,0,0,0";
12;sobel;sobel_baseline;sobel.c:63-86;19.68;12.49;;;;;;"100,0,0,0,0,0,0,0,0,0";
154;libm-2.17.so;__sqrt;;6.78;4.3;;;;;;"0,0,0,100,0,0,0,0,0,0";
9;sobel;grayscale_weighted;sobel.c:17-31;3.34;2.12;;;;;;"100,0,0,0,0,0,0,0,0,0";
