name;time_p;time_s;cpi_ratio;
/home/antvidal/AOC/AOC-Computer-vision/maqao/sobel_baseline/binaries/sobel;93.04;59.02;;
/usr/lib64/libm-2.17.so;6.95;4.41;;
kernel;0.01;0;;
