Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.1786;1.0207;2.4092;1.2231;
2;1.1999;1.0207;4.2657;1.2677;
3;1.1999;1.0207;5.3519;1.2677;
4;1.1999;1.0207;6.4118;1.2677;
