block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
77;sobel;sobel.c:22-29;39.95;0.99;0.32;0.35;0.37;14.273259162903;0.020679475739598;8;
80;sobel;sobel.c:207-217;26.64;0.66;0.19;0.23;0.26;9.7364873886108;0.023412061855197;8;
82;sobel;sobel.c:212-217;0.22;0.01;0;0;0;0.17239528894424;0.0010690442286432;7;
86;sobel;sobel.c:212-217;0.06;0;0;0;0;0.0013198822271079;0;4;
87;sobel;sobel.c:207-217;0.01;0;0;0;0;0;0;1;
