loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
0;sobel;main._omp_fn.0;8;sobel.c:21-30;Innermost;33.97;1.71;0.19;0.22;0.25;6.7951273918152;32;
1;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;30.47;1.54;0.16;0.2;0.24;6.1404519081116;32;
5;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.93;0.05;0;0.01;0.01;0.47699534893036;32;
4;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.2;0.01;0;0;0;0.16824504733086;24;
2;sobel;main._omp_fn.0;8;sobel.c:202-313;InBetween;0.11;0.01;0;0;0;0.11196043342352;19;
