Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;31.35;64.99;0;21276.86;2.64;0;0;0;0.01;5.2;0;1.02;
knl07;_ALL;_ALL;31.35;64.99;0;21276.86;2.64;0;0;0;0.01;5.2;0;1.02;
knl07;385982;_ALL;31.35;64.99;0;21276.86;2.64;0;0;0;0.01;5.2;0;1.02;
knl07;385982;386276;13.78;83.22;0;566;3;0;0;0;0;0.57;0;0;
knl07;385982;386280;14.23;82.07;0;513;3.7;0;0;0;0;0.51;0;0;
knl07;385982;386284;12.9;83.74;0;535;3.36;0;0;0;0;0.54;0;0;
knl07;385982;386288;15.82;80.6;0;531;3.58;0;0;0;0;0.53;0;0;
knl07;385982;386292;12.65;84.05;0;514;3.31;0;0;0;0;0.51;0;0;
knl07;385982;386296;11.55;85.13;0;511;3.33;0;0;0;0;0.51;0;0;
knl07;385982;386271;11.27;84.74;0;426;3.99;0;0;0;0;0.43;0;0;
knl07;385982;386275;12.62;82.48;0;428;4.91;0;0;0;0;0.43;0;0;
knl07;385982;386279;14.5;82.11;0;531;3.39;0;0;0;0;0.53;0;0;
knl07;385982;386283;14.29;82.33;0;532;3.38;0;0;0;0;0.53;0;0;
knl07;385982;386287;14.26;82.42;0;512;3.32;0;0;0;0;0.51;0;0;
knl07;385982;386291;14.26;82.36;0;533;3.38;0;0;0;0;0.53;0;0;
knl07;385982;386295;13.67;82.81;0;512;3.32;0;0;0;0.2;0.51;0;0;
knl07;385982;386299;11.13;85.47;0;530;3.4;0;0;0;0;0.53;0;0;
knl07;385982;385982;86.83;8.86;0;5201.85;0.15;0;0;0;0;5.2;0;4.15;
knl07;385982;386274;13.93;83.07;0;567;3;0;0;0;0;0.57;0;0;
knl07;385982;386278;15.79;80.83;0;532;3.38;0;0;0;0;0.53;0;0;
knl07;385982;386282;14.82;81.8;0;533;3.38;0;0;0;0;0.53;0;0;
knl07;385982;386286;13.5;82.97;0;511;3.52;0;0;0;0;0.51;0;0;
knl07;385982;386290;12.5;83.96;0;536;3.54;0;0;0;0;0.54;0;0;
knl07;385982;386294;11.5;84.99;0;513;3.51;0;0;0;0;0.51;0;0;
knl07;385982;386298;14.26;82.17;0;561;3.57;0;0;0;0;0.56;0;0;
knl07;385982;386300;14.34;82.45;0;530;3.21;0;0;0;0;0.53;0;0;
knl07;385982;386273;10.51;84.58;0;428;4.91;0;0;0;0;0.43;0;0;
knl07;385982;386277;11.54;86.25;0;589;2.04;0;0;0;0.17;0.59;0;0;
knl07;385982;386281;12.01;84.43;0;533;3.38;0;0;0;0.19;0.53;0;0;
knl07;385982;386285;12.43;84.27;0;515;3.3;0;0;0;0;0.52;0;0;
knl07;385982;386289;12.76;83.86;0;533;3.38;0;0;0;0;0.53;0;0;
knl07;385982;386293;13.7;82.55;0;533;3.75;0;0;0;0;0.53;0;0;
knl07;385982;386297;16.14;80.49;0;533;3.38;0;0;0;0;0.53;0;0;
knl07;385982;386301;14.61;82.92;0;527;2.47;0;0;0;0;0.53;0;0;
knl07;385982;386272;12.65;82.67;0;427;4.68;0;0;0;0;0.43;0;0;
