run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;1T;1;1;25.229490280151;1;1;1;
1;2T;1;2;48.622959136963;2;0.51888019009876;0.51888019009876;
2;4T;1;4;90.461700439453;4;0.27889692718122;0.27889692718122;
