group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
8;SSSSLLLL;VMOVDQA,VMOVDQA,VMOVDQA,VMOVDQA,VMOVDQA,VMOVDQA,VMOVDQA,VMOVDQA,;32,64,48,80,32,48,64,80,;0x1fc6,0x1fd1,0x1fdc,0x1fe2,0x20db,0x2120,0x2147,0x2171,;Not Analyzed;0;Success;128;64;64;64;0;1;
6;LLLLLL;VPAND,VPAND,VPAND,VPAND,VPAND,VPAND,;12108,12095,12081,12067,12070,12057,;0x21dc,0x21e9,0x21f7,0x2205,0x2212,0x221f,;RIP based value;0;Success;96;67;29;67;0;1;
8;LLLLLLLL;VMOVDQU,VMOVDQU,VMOVDQU,VMOVDQU,VMOVDQU,VMOVDQU,VMOVDQU,VMOVDQU,;0,0,0,0,0,0,0,0,;0x1f72,0x1fa1,0x1fab,0x200e,0x2029,0x2062,0x2085,0x20a3,;Success;16;Success;128;16;112;16;16;8;
1;L;VMOVDQA,;0,;0x1f79,;Success;16;Success;16;16;0;16;16;1;
1;S;VMOVDQA,;0,;0x222c,;Success;16;Success;16;16;0;16;16;1;
