Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.0119;1.239;1.462;
2;1;1.0119;1.6159;2.5257;
3;1;1.0119;1.6369;2.575;
4;1;1.0119;1.6405;2.5834;
5;1;1.0119;1.6425;2.5883;
