run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;1T;1;1;25.213636398315;1;1;1;
1;2T;1;2;22.010412216187;2;1.1455322213263;0.57276611066314;
2;4T;1;4;18.56590461731;4;1.3580612912773;0.33951532281934;
3;8T;1;8;15.057642936707;8;1.6744743187429;0.20930928984286;
4;16T;1;16;14.080144882202;16;1.7907227950606;0.11192017469129;
5;32T;1;32;13.631403923035;32;1.8496727512937;0.057802273477928;
