block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;20.83;5.59;;;;;;
82;sobel;sobel.c:204-214;18.28;4.91;;;;;;
78;sobel;sobel.c:209-214;0.33;0.09;;;;;;
86;sobel;sobel.c:209-214;0.06;0.02;;;;;;
79;sobel;sobel.c:204-214;0.06;0.02;;;;;;
81;sobel;sobel.c:204-204;0.03;0.01;;;;;;
101;sobel;sobel.c:204-204;0.02;0;;;;;;
85;sobel;sobel.c:209-214;0.01;0;;;;;;
83;sobel;sobel.c:204-204;0.01;0;;;;;;
77;sobel;sobel.c:204-313;0.01;0;;;;;;
158;sobel;common.c:9-10;0;0;;;;;;
75;sobel;sobel.c:204-204;0;0;;;;;;
87;sobel;sobel.c:204-214;0;0;;;;;;
