block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;43.14;5.7;;;;;;
82;sobel;sobel.c:204-214;37.42;4.95;;;;;;
78;sobel;sobel.c:209-214;0.71;0.09;;;;;;
86;sobel;sobel.c:209-214;0.24;0.03;;;;;;
79;sobel;sobel.c:204-214;0.14;0.02;;;;;;
85;sobel;sobel.c:209-214;0.04;0;;;;;;
81;sobel;sobel.c:204-204;0.03;0;;;;;;
83;sobel;sobel.c:204-204;0.02;0;;;;;;
77;sobel;sobel.c:204-313;0.02;0;;;;;;
90;sobel;sobel.c:202-323,rdtsc.h:9-11;0.01;0;;;;;;
75;sobel;sobel.c:204-204;0.01;0;;;;;;
101;sobel;sobel.c:204-204;0.01;0;;;;;;
89;sobel;sobel.c:214-214;0.01;0;;;;;;
