loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
0;sobel;main._omp_fn.0;8;sobel.c:21-30;Innermost;29.65;7.54;5.57;5.58;5.59;16.741941452026;2;
1;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;26.23;6.67;4.92;4.93;4.95;15.037756919861;2;
5;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.62;0.16;0.11;0.12;0.12;0.28159981966019;2;
4;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.18;0.04;0.03;0.03;0.04;0.15970802307129;2;
2;sobel;main._omp_fn.0;8;sobel.c:202-313;InBetween;0.08;0.02;0.01;0.02;0.02;0.025347582995892;2;
3;sobel;main._omp_fn.0;8;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;Outermost;0;0;0;0;0;0;1;
9;sobel;sort;12;common.c:9-15;Innermost;0;0;0;0;0;0;1;
