function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
1;sobel;main;mm_malloc.h:45-54,sobel.c:21-399,rdtsc.h:9-11,stdio2.h:100-297;76.69;10.64;10.64;10.64;10.64;0;1;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;23.17;3.21;3.21;3.21;3.21;0;1;"0,0,0,0,93.310559522082,6.6894404779182,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.04;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
1018;libc-2.31.so;__read;;0.02;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
1019;libc-2.31.so;__write;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
496;libc-2.31.so;_IO_file_write;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
550;libc-2.31.so;__libc_alloca_cutoff;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
369;libc-2.31.so;_IO_padn;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
364;libc-2.31.so;_IO_fwrite;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
308;libc-2.31.so;vprintf;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
11;sobel;sort;common.c:7-17;0.01;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
0;sobel;Unknown function;;0.01;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
