Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;47.25;52.33;0;41275.91;0.04;0;0;0;0.01;28.06;0;0.37;
knl07;_ALL;_ALL;47.25;52.33;0;41275.91;0.04;0;0;0;0.01;28.06;0;0.37;
knl07;390889;_ALL;47.25;52.33;0;41275.91;0.04;0;0;0;0.01;28.06;0;0.37;
knl07;390889;391179;18.11;81.81;0;13219.14;0.05;0.01;0;0;0.02;13.22;0;0.02;
knl07;390889;390889;60.97;38.45;0;28056.76;0.04;0;0;0;0;28.06;0;0.53;
