Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;36.73;61.99;0;17279.87;0.01;0;0;0.01;0.03;17.28;0;1.24;
knl07;_ALL;_ALL;36.73;61.99;0;17279.87;0.01;0;0;0.01;0.03;17.28;0;1.24;
knl07;386327;_ALL;36.73;61.99;0;17279.87;0.01;0;0;0.01;0.03;17.28;0;1.24;
knl07;386327;386327;36.73;61.99;0;17279.87;0.01;0;0;0.01;0.03;17.28;0;1.24;
