function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;87.36;2.69;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;12.02;0.37;;;;;;"0,0,0.27026948106694,0,99.729730518933,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.42;0.01;;;;;;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.06;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.06;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
