block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;47.2;1.41;;;;;;
80;sobel;sobel.c:204-214;39.72;1.19;;;;;;
76;sobel;sobel.c:209-214;0.87;0.03;;;;;;
84;sobel;sobel.c:209-214;0.37;0.01;;;;;;
77;sobel;sobel.c:204-214;0.1;0;;;;;;
73;sobel;sobel.c:204-204;0.03;0;;;;;;
79;sobel;sobel.c:204-204;0.03;0;;;;;;
81;sobel;sobel.c:204-204;0.03;0;;;;;;
85;sobel;sobel.c:204-214;0.03;0;;;;;;
94;sobel;sobel.c:204-204;0.03;0;;;;;;
83;sobel;sobel.c:209-214;0.03;0;;;;;;
87;sobel;sobel.c:214-214;0.03;0;;;;;;
