Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;38.92;59.62;0;17938.12;0.27;0;0;0;0;8.83;0;1.2;
knl07;_ALL;_ALL;38.92;59.62;0;17938.12;0.27;0;0;0;0;8.83;0;1.2;
knl07;385069;_ALL;38.92;59.62;0;17938.12;0.27;0;0;0;0;8.83;0;1.2;
knl07;385069;385360;12.09;87.64;0;3035.01;0.26;0;0;0;0;3.04;0;0;
knl07;385069;385359;10.8;88.68;0;3038;0.53;0;0;0;0;3.04;0;0;
knl07;385069;385358;10.89;88.58;0;3039;0.53;0;0;0;0;3.04;0;0;
knl07;385069;385069;67.47;30;0;8826.11;0.09;0;0;0;0;8.83;0;2.44;
