Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.0118;1.2375;1.4585;
2;1;1.0119;1.6003;2.4677;
3;1;1.0119;1.6164;2.5043;
4;1;1.0119;1.6197;2.5118;
5;1;1.0119;1.6214;2.5158;
6;1;1.0119;1.6216;2.5162;
7;1;1.0119;1.6219;2.5162;
