Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;36.13;61.92;0;17112.82;0.6;0;0;0.01;0;6.5;0;1.34;
knl07;_ALL;_ALL;36.13;61.92;0;17112.82;0.6;0;0;0.01;0;6.5;0;1.34;
knl07;392584;_ALL;36.13;61.92;0;17112.82;0.6;0;0;0.01;0;6.5;0;1.34;
knl07;392584;392876;11.47;87.61;0;1517;0.92;0;0;0;0;1.52;0;0;
knl07;392584;392875;10.28;88.6;0;1518;1.12;0;0;0;0;1.52;0;0;
knl07;392584;392874;11.59;87.55;0;1518;0.86;0;0;0;0;1.52;0;0;
knl07;392584;392584;76.06;20.31;0;6497.85;0.09;0;0;0;0;6.5;0;3.54;
knl07;392584;392877;11.8;87.21;0;1517;0.99;0;0;0;0;1.52;0;0;
knl07;392584;392879;13.03;86.31;0;1511.99;0.6;0;0;0.07;0;1.51;0;0;
knl07;392584;392878;11.49;87.72;0;1515;0.79;0;0;0;0;1.51;0;0;
knl07;392584;392873;12.19;86.69;0;1518;1.12;0;0;0;0;1.52;0;0;
