Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;31.41;67.06;0;7045.97;0.07;0.01;0;0;0.01;2.44;0;1.43;
vidal-NBLK-WAX9X;_ALL;_ALL;31.41;67.06;0;7045.97;0.07;0.01;0;0;0.01;2.44;0;1.43;
vidal-NBLK-WAX9X;7368;_ALL;31.41;67.06;0;7045.97;0.07;0.01;0;0;0.01;2.44;0;1.43;
vidal-NBLK-WAX9X;7368;7377;8.01;91.85;0;687;0.15;0;0;0;0;0.69;0;0;
vidal-NBLK-WAX9X;7368;7381;6.84;93.01;0;687;0.15;0;0;0;0;0.69;0;0;
vidal-NBLK-WAX9X;7368;7378;8.01;91.99;0;687;0;0;0;0;0;0.69;0;0;
vidal-NBLK-WAX9X;7368;7379;9.12;90.88;0;559;0;0;0;0;0;0.56;0;0;
vidal-NBLK-WAX9X;7368;7380;9.66;90.19;0;642;0.16;0;0;0;0;0.64;0;0;
vidal-NBLK-WAX9X;7368;7383;8.73;90.96;0;653;0.15;0.15;0;0;0;0.65;0;0;
vidal-NBLK-WAX9X;7368;7382;8.6;91.25;0;686;0;0;0;0;0.15;0.69;0;0;
vidal-NBLK-WAX9X;7368;7368;74.73;21.1;0;2444.96;0.04;0;0;0;0;2.44;0;4.13;
