name;time_p;time_s;cpi_ratio;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_v4/binaries/sobel;67.06;1.64;;
kernel;32.83;0.8;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.07;0;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0.04;0;;
