block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
108;sobel;sobel.c:21-28;40.22;0.98;0.3;0.35;0.38;14.978004455566;0.032402649521828;8;
82;sobel;sobel.c:240-251;26.53;0.65;0.2;0.23;0.26;9.8235912322998;0.021326974034309;8;
84;sobel;sobel.c:245-251;0.23;0.01;0;0;0;0.21153353154659;0.0010690449271351;8;
89;sobel;sobel.c:245-251;0.03;0;0;0;0;0.0053591085597873;0;2;
155;sobel;common.c:9-10;0.01;0;0;0;0;0;0;1;
85;sobel;sobel.c:251-251;0.01;0;0;0;0;0;0;1;
87;sobel;sobel.c:240-240;0.01;0;0;0;0;0;0;1;
92;sobel;sobel.c:238-238;0.01;0;0;0;0;0;0;1;
