Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.0123;1.2482;1.4832;
2;1;1.0123;1.6445;2.6399;
3;1;1.0123;1.6692;2.7011;
4;1;1.0123;1.674;2.7131;
5;1;1.0123;1.6766;2.7198;
