ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 1;sobel;sobel.c:21-28;main._omp_fn.0;Innermost;27.15;1.00;1.00;1.69;4.00;1;98.73;40.51;144.00;144.00;144.00;85.25;36.00
Loop 2;sobel;sobel.c:204-214;main._omp_fn.0;Innermost;18.71;1.00;1.00;2.49;32.00;1;100.00;43.08;32.00;32.00;32.00;12.83;1.00
Loop 3;sobel;sobel.c:204-214;main._omp_fn.0;Innermost;0.16;1.00;1.00;12.34;18.67;2;0.00;11.98;18.67;18.67;18.67;1.51;1.00
Loop 5;sobel;stdio2.h:105-105,rdtsc.h:9-11,sobel.c:21-297;main._omp_fn.0;Outermost;0.03;6.00 - 4.80;1.88;5.67;6.00 - 4.80;16;6.45;26.21;24.00;4.00 - 5.00;12.79;4.23;4.00 - 5.00
