block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
54;sobel;sobel.c:55-56;56.79;36.02;36.02;36.02;36.02;0;1;
63;sobel;sobel.c:80-82;7.34;4.65;4.65;4.65;4.65;0;1;
53;sobel;sobel.c:55-55;5.9;3.75;3.75;3.75;3.75;0;1;
65;sobel;sobel.c:82-84;5;3.17;3.17;3.17;3.17;0;1;
44;sobel;sobel.c:20-29;3.26;2.07;2.07;2.07;2.07;0;1;
50;sobel;sobel.c:51-54;2.42;1.54;1.53;1.53;1.53;0;1;
52;sobel;sobel.c:55-55;2.31;1.47;1.47;1.47;1.47;0;1;
66;sobel;sobel.c:84-84;2.05;1.3;1.3;1.3;1.3;0;1;
51;sobel;sobel.c:54-54;1.86;1.18;1.18;1.18;1.18;0;1;
62;sobel;sobel.c:79-80;1.83;1.16;1.16;1.16;1.16;0;1;
61;sobel;sobel.c:79-79;1.74;1.11;1.11;1.11;1.11;0;1;
68;sobel;sobel.c:77-84;1.35;0.85;0.85;0.85;0.85;0;1;
55;sobel;sobel.c:54-54;1.02;0.64;0.64;0.64;0.64;0;1;
56;sobel;sobel.c:58-59;0.61;0.39;0.39;0.39;0.39;0;1;
43;sobel;sobel.c:20-20;0.08;0.05;0.05;0.05;0.05;0;1;
60;sobel;sobel.c:77-77;0.01;0;0.01;0.01;0.01;0;1;
