loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
1;sobel;main._omp_fn.0;8;sobel.c:21-28;Innermost;55.15;0.32;;;;;;;
2;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;33.16;0.19;;;;;;;
3;sobel;main._omp_fn.0;8;sobel.c:204-214;Innermost;0.35;0;;;;;;;
