name;time_p;time_s;cpi_ratio;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_v3_SS/binaries/sobel;65.01;1.66;;
kernel;34.82;0.89;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.11;0;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0.06;0;;
