block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
75;sobel;sobel.c:94-95;53.25;34.63;34.63;34.63;34.63;0;1;
74;sobel;sobel.c:94-94;10.03;6.52;6.52;6.52;6.52;0;1;
84;sobel;sobel.c:119-121;6.58;4.28;4.28;4.28;4.28;0;1;
44;sobel;sobel.c:20-29;6.47;4.21;4.21;4.21;4.21;0;1;
85;sobel;sobel.c:121-123;4.76;3.09;3.09;3.09;3.09;0;1;
72;sobel;sobel.c:93-93;3.05;1.98;1.98;1.98;1.98;0;1;
71;sobel;sobel.c:90-93;2.23;1.45;1.45;1.45;1.45;0;1;
86;sobel;sobel.c:123-123;2.05;1.33;1.33;1.33;1.33;0;1;
83;sobel;sobel.c:118-119;1.04;0.67;0.67;0.67;0.67;0;1;
88;sobel;sobel.c:116-123;0.9;0.58;0.58;0.58;0.58;0;1;
77;sobel;sobel.c:97-98;0.82;0.53;0.53;0.53;0.53;0;1;
82;sobel;sobel.c:118-118;0.71;0.46;0.46;0.46;0.46;0;1;
73;sobel;sobel.c:94-94;0.52;0.33;0.33;0.33;0.33;0;1;
81;sobel;sobel.c:116-116;0.4;0.26;0.26;0.26;0.26;0;1;
76;sobel;sobel.c:93-93;0.4;0.26;0.26;0.26;0.26;0;1;
43;sobel;sobel.c:20-20;0.12;0.08;0.08;0.08;0.08;0;1;
87;sobel;sobel.c:123-123;0.03;0.02;0.02;0.02;0.02;0;1;
