loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
9;sobel;sobel_baseline;12;sobel.c:56-84;Innermost;65.28;3.22;3.22;3.22;3.22;0;0;1;
1;sobel;main;1;sobel.c:20-27;Innermost;34.01;1.68;1.68;1.68;1.68;0;0;1;
10;sobel;sobel_baseline;12;sobel.c:56-84;Innermost;0.51;0.02;0.02;0.02;0.02;0;0;1;
