function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;55.21;7.15;5.33;5.34;5.35;29.686292648315;2;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;44.68;5.79;1.05;4.32;7.59;29.797176361084;2;"0,0,0.011568988273758,0,97.53580549769,2.4526255140367,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.06;0.01;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;0;0;0;0.00013990646402817;2;"0,0,0,0,100,0,0,0,0,0";
498;libc-2.31.so;_IO_file_xsputn;;0.01;0;0;0;0;0;1;"0,0,50,0,0,0,50,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.01;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
369;libc-2.31.so;_IO_padn;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
308;libc-2.31.so;vprintf;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
113;libgomp.so.1.0.0;GOMP_critical_start;;0.01;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
