block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;28.53;3.69;2.76;2.78;2.8;15.118071556091;2;
80;sobel;sobel.c:204-214;25.28;3.27;2.42;2.46;2.5;12.480746269226;2;
76;sobel;sobel.c:209-214;0.54;0.07;0.05;0.05;0.06;0.21806937456131;2;
84;sobel;sobel.c:209-214;0.11;0.01;0.01;0.01;0.01;0.09677529335022;2;
77;sobel;sobel.c:204-214;0.1;0.01;0.01;0.01;0.01;0.085968308150768;2;
79;sobel;sobel.c:204-204;0.03;0;0;0;0;0;1;
95;sobel;sobel.c:204-204;0.02;0;0;0;0;0.016149532049894;2;
83;sobel;sobel.c:209-214;0.01;0;0;0;0;0.0053425482474267;2;
73;sobel;sobel.c:204-204;0.01;0;0;0;0;0;1;
81;sobel;sobel.c:204-204;0.01;0;0;0;0;0;1;
85;sobel;sobel.c:204-214;0.01;0;0;0;0;0;1;
82;sobel;sobel.c:202-202;0.01;0;0;0;0;0;1;
75;sobel;sobel.c:204-313;0.01;0;0;0;0;0;1;
