ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 3;sobel;sobel.c:204-215;sobel_v3._omp_fn.0;Innermost;54.71;1.00;1.00;7.84;6.00;2;0.00;12.17;6.00;6.00;6.00;0.77;1.00
Loop 1;sobel;sobel.c:21-28;main;Innermost;8.83;1.00;1.00;1.80;4.00;1;98.81;41.09;144.00;144.00;144.00;80.00;36.00
Loop 4;sobel;sobel.c:204-215;sobel_v3._omp_fn.0;Outermost;0.02;1.00;NA;NA;1.25;2;NA;NA;1.25;1.25;NA;NA;1.00
